Unnamed: 0,department,search_term,sfr,asin,clicked_item,click_share_rank,click_share,conversion_share
118,Merchants,shampoo bar,1,B09KQZ3976,"VIORI Citrus Yao Shampoo Bar, Conditioner Bar, and Bamboo Holder Set (Includes Bamboo) - Handcrafted with Longsheng Rice Water & Natural Ingredients - Sulfate-free, Paraben-free, 100% Vegan",2,0.155,0
119,Merchants,shampoo bar,1,B099KTRW57,"VIORI Shampoo Bar, Citrus Yao - Handcrafted with Longsheng Rice Water & Natural Ingredients - Sulfate-free, Paraben-free, Cruelty-free, Phthalate-free, pH balanced 100% Vegan, Zero-Waste",3,0.0933,0
120,Automotive,tires,1,B09XBJ993V,Set of 4 (FOUR) Fullway HP108 All-Season Performance Radial Tires-205/55R16 205/55/16 205/55-16 91V Load Range SL 4-Ply BSW Black Side Wall,1,0.0164,0.0036
121,Automotive,tires,1,B07FS21F4M,Starfire Solarus AS All-Season 215/55R17 94V Tire,2,0.016,0.0263
122,Automotive,tires,1,B07HBMJ9VS,Kumho Majesty Solus KU50 all_ Season Radial Tire-225/45R17 91W,3,0.0142,0.0168
123,Movies & TV,movies,1,B09HYNH8TK,The Terminal List - Season 1,1,0.0997,0.0091
124,Movies & TV,movies,1,B09KDJYXPH,Marry Me,2,0.0572,0.0182
125,Movies & TV,movies,1,B001K3K5MO,Top Gun,3,0.0441,0.0091
126,Softlines,"women's jumpsuits, rompers & overalls",1,B09F3CT57V,SOLY HUX Women's Summer Sleeveless Striped Belted Tank Romper Short Jumpsuit,1,0.03,0.0251
127,Softlines,"women's jumpsuits, rompers & overalls",1,B07P3988VS,YESNO Women Casual Loose Long Bib Pants Wide Leg Jumpsuits Baggy Cotton Rompers Overalls with Pockets PZZ,2,0.0219,0.0276
128,Softlines,"women's jumpsuits, rompers & overalls",1,B096Z6BRB9,Happy Sailed Women Casual Loose Short Sleeve Belted Wide Leg Pant Romper Jumpsuits,3,0.0192,0.0063
129,Music,vinyl records,1,B0B49CVW21,Stranger Things 4 (Soundtrack From The Netflix Series),1,0.0929,0.0508
130,Music,vinyl records,1,B07VNS48HD,Abbey Road Anniversary [LP],2,0.0719,0.1132
131,Music,vinyl records,1,B00JVQ7RHI,Fleetwood Mac: Greatest Hits,3,0.0616,0.0697
132,Automotive,interior accessories,2,B091C7BXQQ,"HOTOR Car Trash Can, Multifunctional Car Accessory for Interior Car Stuff Storage with Compact Design, Waterproof Car Organizer and Storage with Adjustable Straps, Magnetic Snaps (Gray)",1,0.0642,0.0985
133,Automotive,interior accessories,2,B07Q6CPQK4,"Govee LED Car Lights with App Control, Smart Interior Car Lights with DIY Mode and Music Mode, RGB Car Lights with 2 Lines Design, Under Dash Interior Lights for Car with Car Charger, DC 12V",2,0.0391,0.026
134,Automotive,interior accessories,2,B09787Z3VX,"Amiss Car Center Console Pad, Universal Waterproof Car Armrest Seat Box Cover, Car Interior Accessories, Carbon Fiber PU Leather Auto Armrest Cover Protector for Most Vehicle, SUV, Truck, Car (Black)",3,0.0381,0.0482
135,Movies & TV,prime videos,2,B09HYNH8TK,The Terminal List - Season 1,1,0.1542,0
136,Movies & TV,prime videos,2,B09WV8HF7Q,The Boys - Season 3,2,0.1004,0
137,Movies & TV,prime videos,2,B09TV98RNH,The Lake - Season 1,3,0.0527,0
138,Softlines,luggage,2,B005N2958S,"Rockland Melbourne Hardside Expandable Spinner Wheel Luggage, Silver, 3-Piece Set (20/24/28)",1,0.0373,0.043
139,Softlines,luggage,2,B072M5FXK3,"Samsonite Winfield 2 Hardside Luggage with Spinner Wheels, Brushed Anthracite, Carry-On 20-Inch",2,0.0238,0.0259
140,Softlines,luggage,2,B09434W895,"Travelers Club Midtown Hardside Luggage Travel Set, Lilac, 4-Piece Set",3,0.0158,0.0134
141,Music,vinyl,2,B07VNS48HD,Abbey Road Anniversary [LP],1,0.1312,0.1837
142,Music,vinyl,2,B0B49CVW21,Stranger Things 4 (Soundtrack From The Netflix Series),2,0.1052,0.0918
143,Music,vinyl,2,B01GGJV5VQ,Tom Petty & the Heartbreakers - Greatest Hits,3,0.0377,0.1633
144,Credit Cards,gift cards,2,B07PCMWTSG,Amazon eGift Card - Amazon Logo,1,0.7293,0.719
145,Credit Cards,gift cards,2,B004LLIKVU,Amazon eGift Card - Amazon For All Occasions,2,0.1455,0.1762
146,Credit Cards,gift cards,2,B014S24V2I,Amazon.com $2000 Gift Card in a Gift Box Reveal (Classic Black Card Design),3,0.0258,0.0143
147,MP3 Downloads,morgan wallen,2,B00QNUADXK,Morgan Wallen,1,0.6219,0
148,MP3 Downloads,morgan wallen,2,B08NFFKXKC,Dangerous: The Double Album [Explicit],2,0.1219,0
149,MP3 Downloads,morgan wallen,2,B0B138KTZK,You Proof,3,0.092,0
150,Alexa Skills,apple music,2,B07LCQ5JT7,Apple Music,1,0.9763,0
151,Alexa Skills,apple music,2,B0876D489M,Music it,2,0.0057,0
152,Alexa Skills,apple music,2,B0752VY2KL,Apple-Apple,3,0.0048,0
153,Camera and Photo,camera,2,B09XXGSGW5,"Vlogging Camera, 4K Digital Camera for YouTube with WiFi, 16X Digital Zoom, 180 Degree Flip Screen TopCam6 Zoom, 180 Degree Flip Screen, Wide Angle Lens, Macro Lens, 2 Batteries and 32GB TF Card",1,0.0772,0.0659
154,Camera and Photo,camera,2,B07C2Z21X5,Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos,2,0.0545,0.022
155,Camera and Photo,camera,2,B0B3M1DM3G,"4K Digital Camera 48 MP Camera with 32GB SD Card, 16x Digital Zoom and Autofocus Compact Camera (2 Batteries)",3,0.0538,0.1319
156,Home and Garden,office chair,2,B081H3Y5NW,Amazon Basics Classic Puresoft Padded Mid-Back Office Computer Desk Chair with Armrest - Black,1,0.0859,0.1021
